"A"	"B"	"type"
"KRAS"	"PNPLA4"	"Synthetic Growth Defect"
"KRAS"	"SFPQ"	"Synthetic Growth Defect"
"KRAS"	"SNRPF"	"Synthetic Growth Defect"
"KRAS"	"NUP98"	"Synthetic Growth Defect"
"KRAS"	"TBC1D8"	"Synthetic Growth Defect"
"KRAS"	"LMLN"	"Synthetic Growth Defect"
"KRAS"	"ANAPC10"	"Synthetic Growth Defect"
"KRAS"	"C12orf66"	"Synthetic Growth Defect"
"KRAS"	"HKDC1"	"Synthetic Growth Defect"
"KRAS"	"NONO"	"Synthetic Growth Defect"
"KRAS"	"SLC9A8"	"Synthetic Growth Defect"
"KRAS"	"ADAM10"	"Synthetic Growth Defect"
"KRAS"	"RILPL2"	"Synthetic Growth Defect"
"KRAS"	"RPL18A"	"Synthetic Growth Defect"
"KRAS"	"PRPF3"	"Synthetic Growth Defect"
"KRAS"	"COCH"	"Synthetic Growth Defect"
"KRAS"	"SNRPD2"	"Synthetic Growth Defect"
"KRAS"	"NAB1"	"Synthetic Growth Defect"
"KRAS"	"NAPA"	"Synthetic Growth Defect"
"KRAS"	"LTA4H"	"Synthetic Growth Defect"
"KRAS"	"C16orf72"	"Synthetic Growth Defect"
"KRAS"	"STK32A"	"Synthetic Growth Defect"
"KRAS"	"BCAS2"	"Synthetic Growth Defect"
"KRAS"	"CCDC114"	"Synthetic Growth Defect"
"KRAS"	"NHEJ1"	"Synthetic Growth Defect"
"MUS81"	"CREBBP"	"Synthetic Growth Defect"
"MUS81"	"ZNF496"	"Synthetic Growth Defect"
"MUS81"	"ATXN7L1"	"Synthetic Growth Defect"
"MUS81"	"ZNF181"	"Synthetic Growth Defect"
"MUS81"	"BRD9"	"Synthetic Growth Defect"
"MUS81"	"LTK"	"Synthetic Growth Defect"
"MUS81"	"TMEM209"	"Synthetic Growth Defect"
"MUS81"	"ZNF17"	"Synthetic Growth Defect"
"MUS81"	"ZNF358"	"Synthetic Growth Defect"
"MUS81"	"FANCD2"	"Synthetic Growth Defect"
"MUS81"	"CCT7"	"Synthetic Growth Defect"
"MUS81"	"PLEK2"	"Synthetic Growth Defect"
"MUS81"	"TRAF6"	"Synthetic Growth Defect"
"MUS81"	"CDK5RAP2"	"Synthetic Growth Defect"
"MUS81"	"POLD2"	"Synthetic Growth Defect"
"MUS81"	"SREK1"	"Synthetic Growth Defect"
"MUS81"	"TIMELESS"	"Synthetic Growth Defect"
"MUS81"	"POLR2L"	"Synthetic Growth Defect"
"MUS81"	"DNAJB9"	"Synthetic Growth Defect"
"MUS81"	"RPS3"	"Synthetic Growth Defect"
"MUS81"	"KPNA6"	"Synthetic Growth Defect"
"MUS81"	"TFB1M"	"Synthetic Growth Defect"
"MUS81"	"TRIM24"	"Synthetic Growth Defect"
"MUS81"	"RAMP1"	"Synthetic Growth Defect"
"MUS81"	"BRAF"	"Synthetic Growth Defect"
"MUS81"	"STIL"	"Synthetic Growth Defect"
"MUS81"	"ZNF142"	"Synthetic Growth Defect"
"MUS81"	"RFC1"	"Synthetic Growth Defect"
"MUS81"	"IDH2"	"Synthetic Growth Defect"
"MUS81"	"DDX23"	"Synthetic Growth Defect"
"MUS81"	"GTPBP8"	"Synthetic Growth Defect"
"MUS81"	"MDFI"	"Synthetic Growth Defect"
"MUS81"	"WRN"	"Synthetic Growth Defect"
"MUS81"	"SAMD4B"	"Synthetic Growth Defect"
"MUS81"	"DUS3L"	"Synthetic Growth Defect"
"MUS81"	"INO80"	"Synthetic Growth Defect"
"MUS81"	"ALMS1"	"Synthetic Growth Defect"
"MUS81"	"SNW1"	"Synthetic Growth Defect"
"MUS81"	"PIGB"	"Synthetic Growth Defect"
"MUS81"	"VCP"	"Synthetic Growth Defect"
"MUS81"	"POLR3K"	"Synthetic Growth Defect"
"MUS81"	"XIAP"	"Synthetic Growth Defect"
"MUS81"	"ELK4"	"Synthetic Growth Defect"
"MUS81"	"RFTN1"	"Synthetic Growth Defect"
"MUS81"	"BLOC1S1"	"Synthetic Growth Defect"
"MUS81"	"SFPQ"	"Synthetic Growth Defect"
"MUS81"	"KIAA2026"	"Synthetic Growth Defect"
"MUS81"	"VWCE"	"Synthetic Growth Defect"
"MUS81"	"MBP"	"Synthetic Growth Defect"
"MUS81"	"PCNXL2"	"Synthetic Growth Defect"
"MUS81"	"SF3A2"	"Synthetic Growth Defect"
"PTEN"	"TXNDC11"	"Synthetic Growth Defect"
"PTEN"	"CFB"	"Synthetic Growth Defect"
"PTEN"	"YME1L1"	"Synthetic Growth Defect"
"PTEN"	"SUV39H1"	"Synthetic Growth Defect"
"PTEN"	"HES5"	"Synthetic Growth Defect"
"PTEN"	"GPER1"	"Synthetic Growth Defect"
"PTEN"	"MXD1"	"Synthetic Growth Defect"
"PTEN"	"TTC31"	"Synthetic Growth Defect"
"PTEN"	"EME2"	"Synthetic Growth Defect"
"PTEN"	"OPRL1"	"Synthetic Growth Defect"
"PTEN"	"OSBP2"	"Synthetic Growth Defect"
"PTEN"	"RFTN1"	"Synthetic Growth Defect"
"PTEN"	"PBX3"	"Synthetic Growth Defect"
"PTEN"	"FBXL6"	"Synthetic Growth Defect"
"PTEN"	"PIGN"	"Synthetic Growth Defect"
"PTEN"	"POLM"	"Synthetic Growth Defect"
"PTEN"	"TUBA1A"	"Synthetic Growth Defect"
"PTEN"	"UBAP2L"	"Synthetic Growth Defect"
"PTEN"	"TRIM8"	"Synthetic Growth Defect"
"PTEN"	"CDC42EP5"	"Synthetic Growth Defect"
"PTEN"	"ST8SIA6"	"Synthetic Growth Defect"
"PTEN"	"ENO2"	"Synthetic Growth Defect"
"PTEN"	"BLOC1S1"	"Synthetic Growth Defect"
"PTEN"	"HES6"	"Synthetic Growth Defect"
"PTEN"	"IFIH1"	"Synthetic Growth Defect"
"PTEN"	"CYB5R3"	"Synthetic Growth Defect"
"PTEN"	"PSMB2"	"Synthetic Growth Defect"
"PTEN"	"SLC36A1"	"Synthetic Growth Defect"
"PTEN"	"THBD"	"Synthetic Growth Defect"
"PTEN"	"CARS2"	"Synthetic Growth Defect"
"PTEN"	"NOTCH1"	"Synthetic Growth Defect"
"PTEN"	"PPAP2B"	"Synthetic Growth Defect"
"PTEN"	"UBE2D1"	"Synthetic Growth Defect"
"PTEN"	"HEATR6"	"Synthetic Growth Defect"
"PTEN"	"LLGL2"	"Synthetic Growth Defect"
"PTEN"	"SLC25A6"	"Synthetic Growth Defect"
"PTEN"	"KIAA0196"	"Synthetic Growth Defect"
"PTEN"	"PKMYT1"	"Synthetic Growth Defect"
"PTEN"	"HAGHL"	"Synthetic Growth Defect"
"PTEN"	"RASSF2"	"Synthetic Growth Defect"
"PTEN"	"SOCS1"	"Synthetic Growth Defect"
"PTEN"	"TRIM24"	"Synthetic Growth Defect"
"PTTG1"	"SLC36A1"	"Synthetic Growth Defect"
"PTTG1"	"POLR3K"	"Synthetic Growth Defect"
"PTTG1"	"CDK5RAP2"	"Synthetic Growth Defect"
"PTTG1"	"CSNK2B"	"Synthetic Growth Defect"
"PTTG1"	"XIAP"	"Synthetic Growth Defect"
"PTTG1"	"KPNA6"	"Synthetic Growth Defect"
"PTTG1"	"NUMA1"	"Synthetic Growth Defect"
"PTTG1"	"GPER1"	"Synthetic Growth Defect"
"PTTG1"	"CASP3"	"Synthetic Growth Defect"
"PTTG1"	"TRIM15"	"Synthetic Growth Defect"
"PTTG1"	"B2M"	"Synthetic Growth Defect"
"PTTG1"	"WRN"	"Synthetic Growth Defect"
"PTTG1"	"FXYD1"	"Synthetic Growth Defect"
"PTTG1"	"KISS1R"	"Synthetic Growth Defect"
"PTTG1"	"POLM"	"Synthetic Growth Defect"
"PTTG1"	"ZNF358"	"Synthetic Growth Defect"
"PTTG1"	"DCAF17"	"Synthetic Growth Defect"
"PTTG1"	"ZNF142"	"Synthetic Growth Defect"
"PTTG1"	"PCNXL2"	"Synthetic Growth Defect"
"PTTG1"	"NT5M"	"Synthetic Growth Defect"
"PTTG1"	"PSMA3"	"Synthetic Growth Defect"
"PTTG1"	"CEP85"	"Synthetic Growth Defect"
"PTTG1"	"ARNTL2"	"Synthetic Growth Defect"
"PTTG1"	"ZBTB48"	"Synthetic Growth Defect"
"PTTG1"	"EZR"	"Synthetic Growth Defect"
"PTTG1"	"CREBBP"	"Synthetic Growth Defect"
"PTTG1"	"LUC7L3"	"Synthetic Growth Defect"
"PTTG1"	"CDC37L1"	"Synthetic Growth Defect"
"TP53"	"AAGAB"	"Synthetic Growth Defect"
"TP53"	"ACVR1C"	"Synthetic Growth Defect"
"TP53"	"ADAM28"	"Synthetic Growth Defect"
"TP53"	"ARL3"	"Synthetic Growth Defect"
"TP53"	"ARMCX5"	"Synthetic Growth Defect"
"TP53"	"ARPP21"	"Synthetic Growth Defect"
"TP53"	"ATR"	"Synthetic Growth Defect"
"TP53"	"CENPA"	"Synthetic Growth Defect"
"TP53"	"CLCA3P"	"Synthetic Growth Defect"
"TP53"	"CPA5"	"Synthetic Growth Defect"
"TP53"	"CYP20A1"	"Synthetic Growth Defect"
"TP53"	"C12orf49"	"Synthetic Growth Defect"
"TP53"	"DCLRE1C"	"Synthetic Growth Defect"
"TP53"	"DDX50"	"Synthetic Growth Defect"
"TP53"	"DKK2"	"Synthetic Growth Defect"
"TP53"	"DOT1L"	"Synthetic Growth Defect"
"TP53"	"DPP6"	"Synthetic Growth Defect"
"TP53"	"DZIP1"	"Synthetic Growth Defect"
"TP53"	"EGFR"	"Synthetic Growth Defect"
"TP53"	"ELL3"	"Synthetic Growth Defect"
"TP53"	"EPG5"	"Synthetic Growth Defect"
"TP53"	"ETV1"	"Synthetic Growth Defect"
"TP53"	"EXOSC4"	"Synthetic Growth Defect"
"TP53"	"RMDN1"	"Synthetic Growth Defect"
"TP53"	"FHIT"	"Synthetic Growth Defect"
"TP53"	"GABRG3"	"Synthetic Growth Defect"
"TP53"	"GFPT2"	"Synthetic Growth Defect"
"TP53"	"GK2"	"Synthetic Growth Defect"
"TP53"	"GOLGA2P5"	"Synthetic Growth Defect"
"TP53"	"GPSM3"	"Synthetic Growth Defect"
"TP53"	"GRIN2B"	"Synthetic Growth Defect"
"TP53"	"HAUS1"	"Synthetic Growth Defect"
"TP53"	"HAUS4"	"Synthetic Growth Defect"
"TP53"	"HINT3"	"Synthetic Growth Defect"
"TP53"	"HOXA9"	"Synthetic Growth Defect"
"TP53"	"HYAL4"	"Synthetic Growth Defect"
"TP53"	"IL1A"	"Synthetic Growth Defect"
"TP53"	"CXCL8"	"Synthetic Growth Defect"
"TP53"	"IMP3"	"Synthetic Growth Defect"
"TP53"	"INSIG1"	"Synthetic Growth Defect"
"TP53"	"IRX1"	"Synthetic Growth Defect"
"TP53"	"JMJD8"	"Synthetic Growth Defect"
"TP53"	"KLHL40"	"Synthetic Growth Defect"
"TP53"	"KLRF1"	"Synthetic Growth Defect"
"TP53"	"LAPTM5"	"Synthetic Growth Defect"
"TP53"	"LAP3"	"Synthetic Growth Defect"
"TP53"	"LGI4"	"Synthetic Growth Defect"
"TP53"	"MCM8"	"Synthetic Growth Defect"
"TP53"	"MED8"	"Synthetic Growth Defect"
"TP53"	"MED22"	"Synthetic Growth Defect"
"TP53"	"MFSD12"	"Synthetic Growth Defect"
"TP53"	"MIA2"	"Synthetic Growth Defect"
"TP53"	"MORN2"	"Synthetic Growth Defect"
"TP53"	"MYBPC1"	"Synthetic Growth Defect"
"TP53"	"MYOT"	"Synthetic Growth Defect"
"TP53"	"NEUROG2"	"Synthetic Growth Defect"
"TP53"	"NT5C3A"	"Synthetic Growth Defect"
"TP53"	"PACRG"	"Synthetic Growth Defect"
"TP53"	"PDIA5"	"Synthetic Growth Defect"
"TP53"	"PHYH"	"Synthetic Growth Defect"
"TP53"	"PKIA"	"Synthetic Growth Defect"
"TP53"	"PLAC8"	"Synthetic Growth Defect"
"TP53"	"PPP1R13B"	"Synthetic Growth Defect"
"TP53"	"POLD3"	"Synthetic Growth Defect"
"TP53"	"POLR1D"	"Synthetic Growth Defect"
"TP53"	"PRPF6"	"Synthetic Growth Defect"
"TP53"	"PSD3"	"Synthetic Growth Defect"
"TP53"	"PTTG1IP"	"Synthetic Growth Defect"
"TP53"	"PTX3"	"Synthetic Growth Defect"
"TP53"	"PURG"	"Synthetic Growth Defect"
"TP53"	"RBBP5"	"Synthetic Growth Defect"
"TP53"	"RECQL5"	"Synthetic Growth Defect"
"TP53"	"RETNLB"	"Synthetic Growth Defect"
"TP53"	"RNASE4"	"Synthetic Growth Defect"
"TP53"	"RPL36P14"	"Synthetic Growth Defect"
"TP53"	"RPUSD4"	"Synthetic Growth Defect"
"TP53"	"SACS"	"Synthetic Growth Defect"
"TP53"	"SAMD7"	"Synthetic Growth Defect"
"TP53"	"SBF2"	"Synthetic Growth Defect"
"TP53"	"SEC63"	"Synthetic Growth Defect"
"TP53"	"SLAMF1"	"Synthetic Growth Defect"
"TP53"	"SLC7A2"	"Synthetic Growth Defect"
"TP53"	"SNX12"	"Synthetic Growth Defect"
"TP53"	"SPESP1"	"Synthetic Growth Defect"
"TP53"	"STAM2"	"Synthetic Growth Defect"
"TP53"	"STT3B"	"Synthetic Growth Defect"
"TP53"	"STXBP4"	"Synthetic Growth Defect"
"TP53"	"STX2"	"Synthetic Growth Defect"
"TP53"	"SUPT3H"	"Synthetic Growth Defect"
"TP53"	"TBC1D24"	"Synthetic Growth Defect"
"TP53"	"THAP1"	"Synthetic Growth Defect"
"TP53"	"NELFCD"	"Synthetic Growth Defect"
"TP53"	"TMEM200A"	"Synthetic Growth Defect"
"TP53"	"TOM1L1"	"Synthetic Growth Defect"
"TP53"	"TOP2A"	"Synthetic Growth Defect"
"TP53"	"TTC28"	"Synthetic Growth Defect"
"TP53"	"UBQLN2"	"Synthetic Growth Defect"
"TP53"	"UMPS"	"Synthetic Growth Defect"
"TP53"	"USH2A"	"Synthetic Growth Defect"
"TP53"	"USP1"	"Synthetic Growth Defect"
"TP53"	"ZNF300"	"Synthetic Growth Defect"
"TP53"	"ZNF619"	"Synthetic Growth Defect"
"TP53"	"ZNF763"	"Synthetic Growth Defect"
"TP53"	"TERT"	"Phenotypic Enhancement"
"TP53"	"TERT"	"Dosage Rescue"
"ETV1"	"TERT"	"Dosage Rescue"
"ATR"	"TERT"	"Dosage Rescue"
"ATR"	"ETV1"	"Dosage Rescue"
"TP53"	"ETV1"	"Dosage Rescue"
"FBXW7"	"BUB1B"	"Synthetic Lethality"
"FBXW7"	"FANCD2"	"Synthetic Lethality"
"FBXW7"	"RAB4B"	"Synthetic Lethality"
"FBXW7"	"RAG1"	"Synthetic Lethality"
"FBXW7"	"RFWD3"	"Synthetic Lethality"
"DMRT1"	"NANOS3"	"Phenotypic Enhancement"
"REV3L"	"GPR27"	"Synthetic Growth Defect"
"REV3L"	"RRM1"	"Synthetic Growth Defect"
"REV3L"	"CFLAR"	"Synthetic Growth Defect"
"REV3L"	"LMTK3"	"Synthetic Growth Defect"
"REV3L"	"CCR6"	"Synthetic Growth Defect"
"REV3L"	"CACNA1A"	"Synthetic Growth Defect"
"REV3L"	"COPZ1"	"Synthetic Growth Defect"
"REV3L"	"CDY1"	"Synthetic Growth Defect"
"REV3L"	"CSAD"	"Synthetic Growth Defect"
"REV3L"	"A1BG"	"Synthetic Growth Defect"
"REV3L"	"TXN"	"Synthetic Growth Defect"
"REV3L"	"SLC16A10"	"Synthetic Growth Defect"
"REV3L"	"ATAD1"	"Synthetic Growth Defect"
"REV3L"	"RFXAP"	"Synthetic Growth Defect"
"REV3L"	"FAM107A"	"Synthetic Growth Defect"
"MYC"	"CDK16"	"Synthetic Lethality"
"MYC"	"CDK2"	"Synthetic Lethality"
"MYC"	"ERN1"	"Synthetic Lethality"
"MYC"	"GSK3B"	"Synthetic Lethality"
"MYC"	"LMTK3"	"Synthetic Lethality"
"MYC"	"PHKG2"	"Synthetic Lethality"
"MYC"	"PRKCD"	"Synthetic Lethality"
"MYC"	"PSKH2"	"Synthetic Lethality"
"MYC"	"PRKDC"	"Synthetic Lethality"
"KRAS"	"A2M"	"Synthetic Lethality"
"KRAS"	"ABCB5"	"Synthetic Lethality"
"KRAS"	"ACSM4"	"Synthetic Lethality"
"KRAS"	"ACTR2"	"Synthetic Lethality"
"KRAS"	"ACVRL1"	"Synthetic Lethality"
"KRAS"	"ADAM22"	"Synthetic Lethality"
"KRAS"	"ADAMTSL5"	"Synthetic Lethality"
"KRAS"	"ADCY8"	"Synthetic Lethality"
"KRAS"	"ALKBH3"	"Synthetic Lethality"
"KRAS"	"ALKBH7"	"Synthetic Lethality"
"KRAS"	"ANAPC1"	"Synthetic Lethality"
"KRAS"	"ANAPC4"	"Synthetic Lethality"
"KRAS"	"ANXA5"	"Synthetic Lethality"
"KRAS"	"NAE1"	"Synthetic Lethality"
"KRAS"	"NAA10"	"Synthetic Lethality"
"KRAS"	"ARID1B"	"Synthetic Lethality"
"KRAS"	"ARL4A"	"Synthetic Lethality"
"KRAS"	"ARPC2"	"Synthetic Lethality"
"KRAS"	"ARPC3"	"Synthetic Lethality"
"KRAS"	"ASB16"	"Synthetic Lethality"
"KRAS"	"CSRNP1"	"Synthetic Lethality"
"KRAS"	"BFSP1"	"Synthetic Lethality"
"KRAS"	"RPF2"	"Synthetic Lethality"
"KRAS"	"BRIX1"	"Synthetic Lethality"
"KRAS"	"RPF1"	"Synthetic Lethality"
"KRAS"	"MRGPRG-AS1"	"Synthetic Lethality"
"KRAS"	"FAM160A2"	"Synthetic Lethality"
"KRAS"	"C11orf72"	"Synthetic Lethality"
"KRAS"	"C12orf56"	"Synthetic Lethality"
"KRAS"	"RGCC"	"Synthetic Lethality"
"KRAS"	"SPACA7"	"Synthetic Lethality"
"KRAS"	"URI1"	"Synthetic Lethality"
"KRAS"	"SHCBP1L"	"Synthetic Lethality"
"KRAS"	"TTPAL"	"Synthetic Lethality"
"KRAS"	"MIS18A"	"Synthetic Lethality"
"KRAS"	"LINC01547"	"Synthetic Lethality"
"KRAS"	"EFCAB12"	"Synthetic Lethality"
"KRAS"	"FNDC9"	"Synthetic Lethality"
"KRAS"	"C6"	"Synthetic Lethality"
"KRAS"	"C6orf48"	"Synthetic Lethality"
"KRAS"	"TMEM248"	"Synthetic Lethality"
"KRAS"	"RPP25L"	"Synthetic Lethality"
"KRAS"	"C9orf84"	"Synthetic Lethality"
"KRAS"	"CCDC171"	"Synthetic Lethality"
"KRAS"	"CA12"	"Synthetic Lethality"
"KRAS"	"CACNA2D2"	"Synthetic Lethality"
"KRAS"	"CALR"	"Synthetic Lethality"
"KRAS"	"CARM1"	"Synthetic Lethality"
"KRAS"	"CASC5"	"Synthetic Lethality"
"KRAS"	"CATSPER1"	"Synthetic Lethality"
"KRAS"	"CCDC112"	"Synthetic Lethality"
"KRAS"	"CCDC120"	"Synthetic Lethality"
"KRAS"	"CCIN"	"Synthetic Lethality"
"KRAS"	"CCNA2"	"Synthetic Lethality"
"KRAS"	"CCT2"	"Synthetic Lethality"
"KRAS"	"CDC16"	"Synthetic Lethality"
"KRAS"	"CDC27"	"Synthetic Lethality"
"KRAS"	"CDC73"	"Synthetic Lethality"
"KRAS"	"CDCA8"	"Synthetic Lethality"
"KRAS"	"CDH5"	"Synthetic Lethality"
"KRAS"	"CDKL3"	"Synthetic Lethality"
"KRAS"	"CHN1"	"Synthetic Lethality"
"KRAS"	"CLCN1"	"Synthetic Lethality"
"KRAS"	"CNOT1"	"Synthetic Lethality"
"KRAS"	"COPS2"	"Synthetic Lethality"
"KRAS"	"COPS4"	"Synthetic Lethality"
"KRAS"	"COPS5"	"Synthetic Lethality"
"KRAS"	"COPS8"	"Synthetic Lethality"
"KRAS"	"COX4I2"	"Synthetic Lethality"
"KRAS"	"CREG1"	"Synthetic Lethality"
"KRAS"	"CRNKL1"	"Synthetic Lethality"
"KRAS"	"CRNN"	"Synthetic Lethality"
"KRAS"	"CTNNAL1"	"Synthetic Lethality"
"KRAS"	"CTNS"	"Synthetic Lethality"
"KRAS"	"CTTNBP2"	"Synthetic Lethality"
"KRAS"	"CXCL16"	"Synthetic Lethality"
"KRAS"	"BCORL1"	"Synthetic Lethality"
"KRAS"	"CXorf40A"	"Synthetic Lethality"
"KRAS"	"CYP11B1"	"Synthetic Lethality"
"KRAS"	"DAG1"	"Synthetic Lethality"
"KRAS"	"DCLK2"	"Synthetic Lethality"
"KRAS"	"DCTN4"	"Synthetic Lethality"
"KRAS"	"DDX43"	"Synthetic Lethality"
"KRAS"	"DGCR14"	"Synthetic Lethality"
"KRAS"	"DHRS7C"	"Synthetic Lethality"
"KRAS"	"DHX38"	"Synthetic Lethality"
"KRAS"	"DIDO1"	"Synthetic Lethality"
"KRAS"	"DNM3"	"Synthetic Lethality"
"KRAS"	"DNTTIP1"	"Synthetic Lethality"
"KRAS"	"DYNLL2"	"Synthetic Lethality"
"KRAS"	"EDA2R"	"Synthetic Lethality"
"KRAS"	"EEF1A1"	"Synthetic Lethality"
"KRAS"	"EFNB2"	"Synthetic Lethality"
"KRAS"	"EIF3A"	"Synthetic Lethality"
"KRAS"	"EIF3G"	"Synthetic Lethality"
"KRAS"	"EIF3C"	"Synthetic Lethality"
"KRAS"	"EIF4A3"	"Synthetic Lethality"
"KRAS"	"EMID1"	"Synthetic Lethality"
"KRAS"	"ENPP4"	"Synthetic Lethality"
"KRAS"	"ENPP5"	"Synthetic Lethality"
"KRAS"	"EPRS"	"Synthetic Lethality"
"KRAS"	"ERH"	"Synthetic Lethality"
"KRAS"	"EXOSC10"	"Synthetic Lethality"
"KRAS"	"EXOSC4"	"Synthetic Lethality"
"KRAS"	"F2RL3"	"Synthetic Lethality"
"KRAS"	"FAM115C"	"Synthetic Lethality"
"KRAS"	"FANCA"	"Synthetic Lethality"
"KRAS"	"FBL"	"Synthetic Lethality"
"KRAS"	"KDM2A"	"Synthetic Lethality"
"KRAS"	"FBXL20"	"Synthetic Lethality"
"KRAS"	"FBXO36"	"Synthetic Lethality"
"KRAS"	"FBXW7"	"Synthetic Lethality"
"KRAS"	"FCGR1A"	"Synthetic Lethality"
"KRAS"	"FEZ2"	"Synthetic Lethality"
"KRAS"	"EBLN2"	"Synthetic Lethality"
"KRAS"	"FLJ90680"	"Synthetic Lethality"
"KRAS"	"FLRT2"	"Synthetic Lethality"
"KRAS"	"FOXR1"	"Synthetic Lethality"
"KRAS"	"FREM1"	"Synthetic Lethality"
"KRAS"	"FRMPD1"	"Synthetic Lethality"
"KRAS"	"GATA6"	"Synthetic Lethality"
"KRAS"	"GATAD2A"	"Synthetic Lethality"
"KRAS"	"GCM2"	"Synthetic Lethality"
"KRAS"	"GDF10"	"Synthetic Lethality"
"KRAS"	"GLI3"	"Synthetic Lethality"
"KRAS"	"GMPPB"	"Synthetic Lethality"
"KRAS"	"GNL3L"	"Synthetic Lethality"
"KRAS"	"GON4L"	"Synthetic Lethality"
"KRAS"	"GPR56"	"Synthetic Lethality"
"KRAS"	"HCAR1"	"Synthetic Lethality"
"KRAS"	"GRAP2"	"Synthetic Lethality"
"KRAS"	"GRIP2"	"Synthetic Lethality"
"KRAS"	"GSPT1"	"Synthetic Lethality"
"KRAS"	"HCK"	"Synthetic Lethality"
"KRAS"	"HIGD2A"	"Synthetic Lethality"
"KRAS"	"HMGN2"	"Synthetic Lethality"
"KRAS"	"HNRNPC"	"Synthetic Lethality"
"KRAS"	"HOXB5"	"Synthetic Lethality"
"KRAS"	"HOXD1"	"Synthetic Lethality"
"KRAS"	"HSD3B2"	"Synthetic Lethality"
"KRAS"	"HSD3B7"	"Synthetic Lethality"
"KRAS"	"HSDL2"	"Synthetic Lethality"
"KRAS"	"HSPA14"	"Synthetic Lethality"
"KRAS"	"HSPA9"	"Synthetic Lethality"
"KRAS"	"HSPD1"	"Synthetic Lethality"
"KRAS"	"HUWE1"	"Synthetic Lethality"
"KRAS"	"IARS"	"Synthetic Lethality"
"KRAS"	"IARS2"	"Synthetic Lethality"
"KRAS"	"IBTK"	"Synthetic Lethality"
"KRAS"	"IKBKAP"	"Synthetic Lethality"
"KRAS"	"IL1RAP"	"Synthetic Lethality"
"KRAS"	"IREB2"	"Synthetic Lethality"
"KRAS"	"ITM2A"	"Synthetic Lethality"
"KRAS"	"JAK1"	"Synthetic Lethality"
"KRAS"	"KDM3B"	"Synthetic Lethality"
"KRAS"	"KARS"	"Synthetic Lethality"
"KRAS"	"KCMF1"	"Synthetic Lethality"
"KRAS"	"KCNH7"	"Synthetic Lethality"
"KRAS"	"KCTD12"	"Synthetic Lethality"
"KRAS"	"KDELC1"	"Synthetic Lethality"
"KRAS"	"KIAA0101"	"Synthetic Lethality"
"KRAS"	"RGP1"	"Synthetic Lethality"
"KRAS"	"KIAA0509"	"Synthetic Lethality"
"KRAS"	"ISY1"	"Synthetic Lethality"
"KRAS"	"TNRC18"	"Synthetic Lethality"
"KRAS"	"KIF2C"	"Synthetic Lethality"
"KRAS"	"KLHL25"	"Synthetic Lethality"
"KRAS"	"KPRP"	"Synthetic Lethality"
"KRAS"	"KRAS"	"Synthetic Lethality"
"KRAS"	"KRT32"	"Synthetic Lethality"
"KRAS"	"LCE5A"	"Synthetic Lethality"
"KRAS"	"C14orf183"	"Synthetic Lethality"
"KRAS"	"LOC255654"	"Synthetic Lethality"
"KRAS"	"LOC283575"	"Synthetic Lethality"
"KRAS"	"LOC284379"	"Synthetic Lethality"
"KRAS"	"LOC285556"	"Synthetic Lethality"
"KRAS"	"LRRC10"	"Synthetic Lethality"
"KRAS"	"LRRC32"	"Synthetic Lethality"
"KRAS"	"LSM5"	"Synthetic Lethality"
"KRAS"	"MATN2"	"Synthetic Lethality"
"KRAS"	"MCPH1"	"Synthetic Lethality"
"KRAS"	"METAP2"	"Synthetic Lethality"
"KRAS"	"MID1"	"Synthetic Lethality"
"KRAS"	"MLF2"	"Synthetic Lethality"
"KRAS"	"KMT2A"	"Synthetic Lethality"
"KRAS"	"GSDMC"	"Synthetic Lethality"
"KRAS"	"MNDA"	"Synthetic Lethality"
"KRAS"	"MOB3A"	"Synthetic Lethality"
"KRAS"	"WDR83"	"Synthetic Lethality"
"KRAS"	"MPDZ"	"Synthetic Lethality"
"KRAS"	"MRPL30"	"Synthetic Lethality"
"KRAS"	"MRPL49"	"Synthetic Lethality"
"KRAS"	"MRPS36P4"	"Synthetic Lethality"
"KRAS"	"MTX2"	"Synthetic Lethality"
"KRAS"	"MVP"	"Synthetic Lethality"
"KRAS"	"MYLIP"	"Synthetic Lethality"
"KRAS"	"NADK"	"Synthetic Lethality"
"KRAS"	"NAGS"	"Synthetic Lethality"
"KRAS"	"NAP1L6"	"Synthetic Lethality"
"KRAS"	"NAA15"	"Synthetic Lethality"
"KRAS"	"NAV3"	"Synthetic Lethality"
"KRAS"	"NBR2"	"Synthetic Lethality"
"KRAS"	"NCAPD2"	"Synthetic Lethality"
"KRAS"	"NCL"	"Synthetic Lethality"
"KRAS"	"NDUFA9"	"Synthetic Lethality"
"KRAS"	"NEK1"	"Synthetic Lethality"
"KRAS"	"NF1"	"Synthetic Lethality"
"KRAS"	"NMNAT1"	"Synthetic Lethality"
"KRAS"	"NOL3"	"Synthetic Lethality"
"KRAS"	"NOP56"	"Synthetic Lethality"
"KRAS"	"NOL8"	"Synthetic Lethality"
"KRAS"	"NOP10"	"Synthetic Lethality"
"KRAS"	"NPM1P13"	"Synthetic Lethality"
"KRAS"	"NQO2"	"Synthetic Lethality"
"KRAS"	"NR5A1"	"Synthetic Lethality"
"KRAS"	"NUP205"	"Synthetic Lethality"
"KRAS"	"NUP93"	"Synthetic Lethality"
"KRAS"	"NXF1"	"Synthetic Lethality"
"KRAS"	"OIP5"	"Synthetic Lethality"
"KRAS"	"OR2H2"	"Synthetic Lethality"
